NaTeamHome,CoTeamHome,NaTeamAway,CoTeamAway,Date,NuScoreTeamHome,NuScoreTeamAway,FTR,time_diff
Atletico Baleares,9495,UD Ibiza,9552,2020-03-08,0,2,A,0
Burgos,1661,Arenas Getxo,9141,2020-03-08,2,2,D,0
BarakaldoCF,1551,Calahorra,9646,2020-03-08,1,1,D,0
Rec de Huelva,2178,Marbella,8738,2020-03-08,0,0,D,0
Granada CFB,131209,CA Linense,9695,2020-03-08,0,0,D,0
Las Rozas,9485,Las Palmas Atletico,9539,2020-03-08,2,0,H,0
Murcia Feminas,193791,Don Benito,6283,2020-03-08,2,1,H,0
Murcia Feminas,3606,Don Benito,6283,2020-03-08,2,1,H,0
Alaves II,8979,RealValladolidB,8986,2020-03-08,1,1,D,0
Atletico Madrid B,1511,Ferrol,3605,2020-03-08,2,2,D,0
Real Sociedad B,212542,Haro,9562,2020-03-08,1,1,D,0
Real Sociedad B,8330,Haro,9562,2020-03-08,1,1,D,0
CDIzarra,11802,Salamanca B,14031,2020-03-08,1,1,D,0
Cornella,39919,Levante B,8333,2020-03-08,1,0,H,0
CD Badajoz,1540,UCAM Murcia,657042,2020-03-08,2,1,H,0
CD Badajoz,1540,UCAM Murcia,44148,2020-03-08,2,1,H,0
UE Olot,62216,Badalona,6280,2020-03-08,2,0,H,0
Cordoba,1064,Cartagena FC,46057,2020-03-08,0,2,A,0
Cordoba,1064,Cartagena FC,8097,2020-03-08,0,2,A,0
Barcelona B,1553,lagostera,44143,2020-03-08,3,2,H,0
SCR Pena Deportiva,51101,Internacional,51096,2020-03-08,0,0,D,0
CadizCF B,9521,CF Talavera,3106,2020-03-08,1,0,H,0
Castellon,5876,Prat,8976,2020-03-08,1,3,A,0
Getafe B,9488,Pontevedra,5873,2020-03-08,2,3,A,0
Celta Vigo B,8796,UD San Sebastian Reyes,2921,2020-03-08,2,1,H,0
Ebro,9571,Hercules,2140,2020-03-08,0,0,D,0
FC Andorra,1163511,Orihuela,8091,2020-03-08,2,1,H,0
Algeciras,5834,San Fernando,46063,2020-03-08,1,1,D,0
Algeciras,5834,San Fernando,38441,2020-03-08,1,1,D,0
CF La Nucia,11891,Gimnastic,4374,2020-03-08,2,0,H,0
Yeclano Deportivo,9473,Merida AD,212941,2020-03-08,2,2,D,0
Lida,2458,VillarrealB,9680,2020-03-08,3,0,H,0
Real Oviedo II,51087,Sporting Gijon,2046,2020-03-08,3,2,H,0
Real Oviedo II,51087,Sporting Gijon,40194,2020-03-08,3,2,H,0
